ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y,link fuente,,,,,,,
18,83d20aff-6159-48e6-8ce5-409dd3672e68,966,De_Campo,13-Jan-22,Flores,sgsp,,5/25/2022 14:17,sinae_covid_19,5/25/2022 14:17,sinae_covid_19,-56.72407992,-33.58906496,,,,,,,,
36,d98c9798-7a28-4b20-aa5d-6b7f82b378a6,951,De_Campo,5-Jan-22,Florida,sgsp,,5/25/2022 17:06,sinae_covid_19,5/25/2022 17:06,sinae_covid_19,-55.59425174,-33.92240022,,,,,,,,
25,7f8ceb11-ff6d-47c0-8d37-19900aa066a8,961,De_Campo,11-Jan-22,Florida,sgsp,,5/25/2022 15:20,sinae_covid_19,5/25/2022 15:20,sinae_covid_19,-55.6704714,-34.11180729,,,,,,,,
20,417e021f-2e61-452e-af55-c2137e9510f3,963,De_Campo,12-Jan-22,Florida,sgsp,,5/25/2022 14:28,sinae_covid_19,5/25/2022 14:28,sinae_covid_19,-55.64414556,-33.56464639,,,,,,,,
69,49d365bf-3563-456d-bfaa-f540f8c3a1e9,769,De_Campo,21-Nov-21,Maldonado,prensa,,5/27/2022 17:23,sinae_covid_19,5/27/2022 17:23,sinae_covid_19,-54.96051659,-34.7664171,,,,,,,,
59,df625e77-ab7b-4190-b641-81a6a20c7261,801,De_Campo,19-Dec-21,Maldonado,sgsp,,5/26/2022 19:37,sinae_covid_19,6/15/2022 17:10,sinae_covid_19,-54.89832549,-34.91183845,,,,,,,,
90,c5b7b0c7-0e35-4378-963d-947748c733b8,519,De_Campo,4-Feb-20,Montevideo,cecoed,,6/9/2022 16:30,sinae_covid_19,6/9/2022 16:30,sinae_covid_19,-56.14461802,-34.76861014,,,,,,,,
17,ce15b8b4-3d1f-4d9f-945f-cfcdd5820cf7,964,De_Campo,13-Jan-22,Montevideo,sgsp,,5/25/2022 14:06,sinae_covid_19,5/25/2022 14:06,sinae_covid_19,-56.30346655,-34.77662916,,,,,,,,
110,391e2a5c-8267-4921-8759-a40d97412026,1055,De_Campo,12-Jun-22,Montevideo,sgsp,,6/28/2022 18:53,sinae_covid_19,6/28/2022 18:53,sinae_covid_19,-56.27342095,-34.75367315,,,,,,,,
35,320dd362-057c-4c42-bf8f-cdae2ca6d147,950,De_Campo,5-Jan-22,Paysandu,sgsp,,5/25/2022 16:59,sinae_covid_19,5/25/2022 16:59,sinae_covid_19,-57.96936114,-32.18065775,,,,,,,,
38,02fc97ae-f67c-48ea-8300-254a0e7b8afe,949,De_Campo,2-Jan-22,Rio_Negro,cecoed,,5/25/2022 17:23,sinae_covid_19,5/25/2022 17:23,sinae_covid_19,-56.67502245,-32.70008828,,,,,,,,
108,307012b7-1942-4015-8e9a-2cc970cef7f9,1046,De_Campo,3-Jun-22,Rocha,sgsp,,6/28/2022 17:35,sinae_covid_19,6/28/2022 17:35,sinae_covid_19,-54.07969569,-33.7844932,,,,,,,,
15,3cd06c7e-9180-4ca9-ba74-e1d9f4ae63b2,856,De_Campo,13-Jan-22,Salto,cecoed,,5/25/2022 13:55,sinae_covid_19,5/25/2022 13:55,sinae_covid_19,-57.6393461,-31.38222053,,,,,,,,
96,59311aec-4334-4081-98a3-4338a0fd628c,807,De_Campo,20-Dec-21,San_Jose,prensa,,6/9/2022 18:03,sinae_covid_19,6/9/2022 18:03,sinae_covid_19,-56.71910483,-34.21714197,,,,,,,,
13,e961d904-5dbb-4851-97d4-c7d627f02970,862,De_Campo,13-Jan-22,Soriano,cecoed,,5/25/2022 13:17,sinae_covid_19,5/25/2022 13:17,sinae_covid_19,-57.50604949,-33.76953125,,,,,,,,
83,8297aa11-f610-44d6-8ad6-e91bd51dedee,503,De_Campo,26-Jan-20,Tacuarembo,cecoed,,6/9/2022 15:39,sinae_covid_19,6/9/2022 15:39,sinae_covid_19,-56.48840431,-32.81063303,,,,,,,,
53,800865ec-bc16-45d6-835c-954956456b07,814,De_Campo,26-Dec-21,Tacuarembo,cecoed,,5/26/2022 17:09,sinae_covid_19,5/26/2022 17:09,sinae_covid_19,-55.98160392,-31.7427727,,,,,,,,
99,aec1691c-1c6c-4815-a043-364f941c9339,809,Forestal_Plantado,25-Dec-21,Maldonado,cecoed,,6/10/2022 13:19,sinae_covid_19,6/15/2022 17:10,sinae_covid_19,-55.25792,-34.86615,,,,,,,,
106,42e2c9ca-e977-4560-b8d8-df6ad01c7377,1052,Forestal_Plantado,29-Dec-21,Maldonado,cecoed,,6/15/2022 17:41,sinae_covid_19,6/15/2022 17:41,sinae_covid_19,-55.03203993,-34.85761033,,,,,,,,
77,cc46403e-90cd-4dd3-a11a-fd98dd377f6a,939,Forestal_Plantado,30-Dec-21,Treinta_y_Tres,sgsp,,5/30/2022 20:12,sinae_covid_19,5/30/2022 20:22,sinae_covid_19,-55.13849245,-33.35007616,,,,,,,,
41,d8f4ea52-66e3-4a87-a28e-a46988fc4493,945,Interface_Urbana,1-Jan-22,Artigas,cecoed,,5/25/2022 17:34,sinae_covid_19,5/25/2022 17:34,sinae_covid_19,-56.43262327,-30.4428757,,,,,,,,
80,06620484-8e88-45df-8d84-55fc14a122bc,514,Interface_Urbana,24-Jan-20,Canelones,cecoed,,6/8/2022 21:59,sinae_covid_19,6/8/2022 21:59,sinae_covid_19,-55.61717771,-34.76458943,,,,,,,,
91,88249e2e-461a-430a-859c-613f09447263,520,Interface_Urbana,4-Feb-20,Canelones,cecoed,,6/9/2022 16:33,sinae_covid_19,6/9/2022 16:33,sinae_covid_19,-56.06890696,-34.65377917,,,,,,,,
103,64456954-e4e9-4d9e-980a-a7a4371a9448,823,Interface_Urbana,30-Dec-21,Canelones,prensa,,6/10/2022 13:54,sinae_covid_19,7/1/2022 15:13,sinae_covid_19,-55.79284264,-34.76503129,,,,,,,,
105,445791db-3a23-4760-930e-8166fac7b2bf,829,Interface_Urbana,30-Dec-21,Canelones,prensa,,6/10/2022 14:41,sinae_covid_19,6/10/2022 14:41,sinae_covid_19,-55.68933225,-34.75242487,,,,,,,,
37,ab3616be-9e80-40b3-ab4d-75aaeba1e4ea,841,Interface_Urbana,4-Jan-22,Canelones,prensa,,5/25/2022 17:14,sinae_covid_19,5/25/2022 17:14,sinae_covid_19,-56.0072868,-34.84258615,,,,,,,,
43,27a073c3-8717-4198-b2c3-bf2a56d728d1,942,Interface_Urbana,30-Dec-21,Canelones,sgsp,,5/25/2022 17:58,sinae_covid_19,5/25/2022 17:58,sinae_covid_19,-56.08125174,-34.45238094,,,,,,,,
